main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Ken Robinson,47227110,Do schools kill creativity?,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",19645,4573,6073,3253,387,242,7346,10581,300,10704,4439,1174,209,24924
Al Gore,3200520,Averting the climate crisis,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",544,58,56,139,113,62,443,132,258,268,116,203,131,413
David Pogue,1636292,Simplicity sells,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",964,60,183,45,78,27,395,166,104,230,54,146,142,230
Majora Carter,1697550,Greening the ghetto,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",59,291,105,760,53,32,380,132,36,460,230,85,35,1070
Hans Rosling,12005869,The best stats you've ever seen,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",1390,942,3202,318,110,72,5433,4606,67,2542,3736,248,61,2893
Tony Robbins,20685401,Why we do what we do,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",1102,706,397,721,285,301,1038,1350,377,2423,669,441,335,5211
Julia Sweeney,3769987,Letting go of God,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",2484,277,320,477,193,72,226,316,225,311,61,308,290,438
Joshua Prince-Ramus,967741,Behind the design of Seattle's library,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",9,98,195,34,26,25,121,153,26,37,57,63,5,175
Dan Dennett,2567958,Let's teach religion -- all religion -- in schools,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",60,145,211,562,177,70,623,313,283,764,60,154,83,441
Rick Warren,3095993,A life of purpose,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",26,767,116,476,306,111,304,459,838,1543,209,245,371,2556
Cameron Sinclair,1211416,My wish: A call for open-source architecture,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
",18,51,258,169,34,14,187,148,21,160,66,39,7,608
Jehane Noujaim,387877,My wish: A global day of film,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
",5,70,20,96,16,7,33,41,14,42,20,26,1,201
Larry Brilliant,693341,My wish: Help me stop pandemics,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
",3,16,57,86,9,2,188,83,5,111,70,11,5,240
Jeff Han,4531020,The radical promise of the multi-touch interface,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
",104,277,1014,34,55,19,461,919,32,77,4643,188,23,471
Nicholas Negroponte,358304,One Laptop per Child,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
",14,32,89,83,20,6,104,67,31,49,29,30,11,216
Sirena Huang,2702470,An 11-year-old's magical violin,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
",190,1671,190,143,29,10,22,635,15,41,2280,95,39,879
Jennifer Lin,1628912,"Improvising on piano, aged 14","https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
",24,1107,197,85,35,22,32,454,53,22,1997,68,31,552
Amy Smith,1415724,Simple designs to save a life,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
",21,67,321,150,19,7,279,159,13,140,63,30,4,515
Ross Lovegrove,1074081,"Organic design, inspired by nature","https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
",49,259,185,79,119,80,71,220,113,22,93,68,210,363
Jimmy Wales,1106561,The birth of Wikipedia,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
",19,104,170,63,46,13,478,181,14,73,54,68,11,277
Richard Baraniuk,966439,The birth of the open-source learning revolution,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
",12,22,117,52,30,8,320,111,26,120,26,69,6,258
Ze Frank,6141440,Nerdcore comedy,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
",2799,74,387,75,266,203,61,177,137,20,80,450,239,196
Mena Trott,518624,Meet the founder of the blog revolution,"https://www.ted.com/talks/mena_trott_tours_her_blog_world
",106,54,9,33,119,40,82,34,67,23,3,87,41,86
Helen Fisher,9260764,"Why we love, why we cheat","https://www.ted.com/talks/helen_fisher_tells_us_why_we_love_cheat
",780,864,345,177,245,115,2591,2106,249,1513,207,394,111,1083
Eve Ensler,1131864,Happiness in body and soul,"https://www.ted.com/talks/eve_ensler_on_happiness_in_body_and_soul
",109,342,44,654,31,13,154,144,27,97,97,26,43,789
David Deutsch,1096862,Chemical scum that dream of distant quasars,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
",131,91,269,92,45,42,446,515,49,1234,139,73,21,397
Richard Dawkins,2885999,Why the universe seems so strange,"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe
",127,333,417,112,91,42,653,1281,41,367,324,93,39,674
Steven Levitt,2863214,The freakonomics of crack dealing,"https://www.ted.com/talks/steven_levitt_analyzes_crack_economics
",485,12,175,93,35,7,532,404,19,109,61,44,17,43
Malcolm Gladwell,7023562,"Choice, happiness and spaghetti sauce","https://www.ted.com/talks/malcolm_gladwell_on_spaghetti_sauce
",1668,333,1127,87,190,80,2004,2082,115,1014,290,361,51,1276
Dan Gilbert,14689301,The surprising science of happiness,"https://www.ted.com/talks/dan_gilbert_asks_why_are_we_happy
",1728,444,1166,248,169,241,3899,4303,174,2355,1047,439,67,3554
Barry Schwartz,10000702,The paradox of choice,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
",1526,277,1201,400,178,54,2532,2491,324,2478,521,421,115,2427
Eva Vertes,1030267,Meet the future of cancer research,"https://www.ted.com/talks/eva_vertes_looks_to_the_future_of_medicine
",13,68,279,171,84,30,277,356,38,93,152,75,58,377
Aubrey de Grey,3277740,A roadmap to end aging,"https://www.ted.com/talks/aubrey_de_grey_says_we_can_avoid_aging
",215,65,297,350,215,206,536,812,309,1359,337,145,120,518
Iqbal Quadir,503517,How mobile phones can fight poverty,"https://www.ted.com/talks/iqbal_quadir_says_mobiles_fight_poverty
",1,6,112,55,16,11,153,61,8,66,18,32,3,164
Jacqueline Novogratz,705389,Invest in Africa's own solutions,"https://www.ted.com/talks/jacqueline_novogratz_invests_in_ending_poverty
",5,60,30,53,5,4,138,62,16,92,6,21,3,260
Sasa Vucinic,580891,Why we should invest in a free press,"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press
",1,11,42,53,31,11,101,27,4,51,3,25,4,71
Ashraf Ghani,809226,How to rebuild a broken state,"https://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states
",9,48,31,139,21,25,218,44,35,112,35,51,11,113
Burt Rutan,2028451,The real future of space exploration,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space
",63,30,86,168,70,23,336,247,77,198,63,115,47,498
Ben Saunders,745231,Why did I ski to the North Pole?,"https://www.ted.com/talks/ben_saunders_skis_to_the_north_pole
",80,44,7,274,10,1,44,124,18,22,74,20,7,288
Bono,718649,My wish: Three actions for Africa,"https://www.ted.com/talks/bono_s_call_to_action_for_africa
",26,68,22,104,41,12,80,51,30,145,39,24,33,294
Edward Burtynsky,975107,My wish: Manufactured landscapes and green education,"https://www.ted.com/talks/edward_burtynsky_on_manufactured_landscapes
",8,106,20,52,58,11,184,149,10,64,95,27,10,158
Robert Fischell,382996,My wish: Three unusual medical inventions,"https://www.ted.com/talks/robert_fischell_on_medical_inventing
",1,6,126,11,18,4,115,74,20,27,18,23,8,48
Peter Donnelly,1053758,How juries are fooled by statistics,"https://www.ted.com/talks/peter_donnelly_shows_how_stats_fool_juries
",103,13,106,15,98,67,844,357,2,364,73,75,11,87
Michael Shermer,5364639,Why people believe weird things,"https://www.ted.com/talks/michael_shermer_on_believing_strange_things
",2751,136,509,109,37,51,1344,799,151,1958,133,237,157,373
Ray Kurzweil,2434344,The accelerating power of technology,"https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us
",18,55,207,61,150,91,806,691,111,237,309,141,27,388
Kevin Kelly,1536873,How technology evolves,"https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves
",11,52,192,34,147,87,269,311,136,1084,49,111,24,279
Peter Gabriel,904215,Fight injustice with raw video,"https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video
",5,23,36,180,25,8,145,27,14,92,33,36,3,222
Richard St. John,10841210,8 secrets of success,"https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success
",2966,576,638,457,27,43,1912,777,213,1433,251,685,57,4978
Rives,1813665,If I controlled the Internet,"https://www.ted.com/talks/rives_controls_the_internet
",949,408,377,44,41,45,21,186,56,25,94,135,73,195
Dean Ornish,2299265,The killer American diet that's sweeping the planet,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
",54,8,31,31,8,28,749,85,61,331,62,133,14,151
Robert Neuwirth,673036,The hidden world of shadow cities,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities
",3,18,21,45,70,36,265,130,97,73,32,62,47,105
Bjorn Lomborg,1391142,Global priorities bigger than climate change,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
",16,16,139,283,79,63,549,169,537,1668,67,111,212,280
Wade Davis,2532851,Dreams from endangered cultures,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
",68,563,136,192,55,24,698,928,54,426,380,75,46,970
Phil Borges,882034,Photos of endangered cultures,"https://www.ted.com/talks/phil_borges_on_endangered_cultures
",5,126,16,61,30,14,116,88,25,33,17,24,7,157
Martin Rees,2121177,Is this our final century?,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century
",47,214,132,63,109,27,607,737,60,188,117,175,21,460
Robert Wright,1090180,Progress is not a zero-sum game,"https://www.ted.com/talks/robert_wright_on_optimism
",342,30,121,140,102,55,251,167,107,288,23,129,40,343
Steven Johnson,684519,"How the ""ghost map"" helped end a killer disease","https://www.ted.com/talks/steven_johnson_tours_the_ghost_map
",20,13,26,10,9,5,384,201,5,72,11,66,2,94
Charles Leadbeater,1409327,The era of open innovation,"https://www.ted.com/talks/charles_leadbeater_on_innovation
",11,32,116,29,37,10,355,200,16,249,36,67,3,408
Pilobolus,3051507,"A dance of ""Symbiosis""","https://www.ted.com/talks/pilobolus_perform_symbiosis
",21,1810,420,142,58,53,18,846,22,34,2011,81,22,525
Anna Deavere Smith,978825,Four American characters,"https://www.ted.com/talks/anna_deavere_smith_s_american_character
",149,186,151,179,14,31,67,224,7,36,146,37,39,208
Saul Griffith,442553,Everyday inventions,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions
",3,4,89,4,31,94,98,84,22,12,23,53,6,48
Neil Gershenfeld,691814,Unleash your creativity in a Fab Lab,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs
",11,26,156,9,21,55,111,172,12,42,105,10,9,188
Carl Honoré,2441805,In praise of slowness,"https://www.ted.com/talks/carl_honore_praises_slowness
",199,313,93,159,73,30,411,242,53,575,35,141,21,1260
Bill Clinton,849859,My wish: Rebuilding Rwanda,"https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda
",11,45,37,102,45,7,208,86,23,160,32,47,11,368
E.O. Wilson,1335732,My wish: Build the Encyclopedia of Life,"https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth
",44,168,60,74,71,20,353,229,17,178,79,46,5,403
James Nachtwey,1262674,My wish: Let my photographs bear witness,"https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war
",3,126,25,637,27,15,234,198,24,171,296,24,13,574
Jane Goodall,1663001,What separates us from chimpanzees?,"https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes
",36,441,35,289,70,28,387,432,30,285,107,63,27,944
Seth Godin,5570544,How to get your ideas to spread,"https://www.ted.com/talks/seth_godin_on_sliced_bread
",785,95,444,91,46,23,997,571,59,811,100,158,34,1040
James Watson,1520908,How we discovered DNA,"https://www.ted.com/talks/james_watson_on_how_he_discovered_dna
",306,101,106,39,54,34,360,298,184,29,54,66,47,230
Al Seckel,2138907,Visual illusions that show how we (mis)think,"https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
",319,109,221,2,123,80,173,367,102,32,93,284,35,62
Dean Kamen,680134,To invent is to give,"https://www.ted.com/talks/dean_kamen_on_inventing_and_giving
",15,20,121,19,49,14,89,68,34,63,34,17,17,116
Juan Enriquez,690928,The life code that will reshape the future,"https://www.ted.com/talks/juan_enriquez_on_genomics_and_our_future
",35,27,89,23,19,7,319,310,19,133,181,21,15,176
Stefan Sagmeister,1762302,Happiness by design,"https://www.ted.com/talks/stefan_sagmeister_shares_happy_design
",468,180,159,52,68,31,100,138,70,33,23,123,14,542
Alex Steffen,1392010,The route to a sustainable future,"https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
",12,100,97,78,31,15,313,158,30,174,72,59,14,518
Thom Mayne,660909,How architecture can connect us,"https://www.ted.com/talks/thom_mayne_on_architecture_as_connection
",7,24,42,11,61,69,59,53,60,2,15,44,18,91
Chris Bangle,867495,Great cars are great art,"https://www.ted.com/talks/chris_bangle_says_great_cars_are_art
",97,88,23,36,100,32,87,76,81,28,9,64,45,162
Nora York,395769,"Singing ""What I Want""","https://www.ted.com/talks/nora_york_sings_what_i_want
",11,123,17,22,3,7,2,38,20,5,22,31,13,71
Paul Bennett,761930,Design is in the details,"https://www.ted.com/talks/paul_bennett_finds_design_in_the_details
",31,33,130,12,11,1,199,98,14,54,9,56,19,276
Vik Muniz,1149090,"Art with wire, sugar, chocolate and string","https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar
",507,364,448,27,21,10,46,402,16,20,162,44,9,362
Nick Bostrom,762264,A philosophical quest for our biggest problems,"https://www.ted.com/talks/nick_bostrom_on_our_biggest_problems
",15,20,78,66,173,88,151,119,273,47,19,108,66,108
Janine Benyus,1920434,Biomimicry's surprising lessons from nature's engineers,"https://www.ted.com/talks/janine_benyus_shares_nature_s_designs
",14,241,387,74,33,11,448,704,18,234,338,38,27,874
Craig Venter,560904,Sampling the ocean's DNA,"https://www.ted.com/talks/craig_venter_on_dna_and_the_sea
",3,12,54,21,8,23,199,163,3,23,74,10,0,73
Golan Levin,606311,Software (as) art,"https://www.ted.com/talks/golan_levin_on_software_as_art
",13,95,56,7,89,53,21,65,80,0,16,89,57,43
Susan Savage-Rumbaugh,2197377,The gentle genius of bonobos,"https://www.ted.com/talks/susan_savage_rumbaugh_on_apes_that_write
",272,544,119,56,23,15,604,1342,70,106,1936,61,37,556
Frans Lanting,1697185,The story of life in photographs,"https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos
",18,1262,141,71,108,25,262,600,75,62,882,145,88,611
Sheila Patek,1115081,The shrimp with a kick!,"https://www.ted.com/talks/sheila_patek_clocks_the_fastest_animals
",159,111,108,16,21,5,496,724,3,16,234,67,8,85
Jill Sobule,591379,"Global warming's theme song, ""Manhattan in January""","https://www.ted.com/talks/jill_sobule_sings_to_al_gore
",259,84,45,16,6,8,11,10,16,16,5,70,28,25
Caroline Lavelle,398713,Casting a spell on the cello,"https://www.ted.com/talks/caroline_lavelle_casts_a_spell_on_cello
",2,215,1,5,20,5,0,32,21,7,17,58,9,45
Dan Dennett,2676717,The illusion of consciousness,"https://www.ted.com/talks/dan_dennett_on_our_consciousness
",219,67,189,27,197,101,680,653,264,182,89,289,45,204
Evelyn Glennie,4165572,How to truly listen,"https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen
",122,1535,312,397,107,49,483,1291,33,218,1587,114,29,2061
William McDonough,1426390,Cradle to cradle design,"https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design
",75,138,415,149,49,27,257,286,34,907,207,25,39,695
Jeff Bezos,754700,The electricity metaphor for the web's future,"https://www.ted.com/talks/jeff_bezos_on_the_next_web_innovation
",130,18,66,14,83,24,267,93,41,68,16,66,16,166
Rives,643078,A mockingbird remix of TED2006,"https://www.ted.com/talks/rives_remixes_ted2006
",169,225,189,11,7,8,4,117,5,8,133,17,11,124
Eddi Reader,513672,"""Kiteflyer's Hill""","https://www.ted.com/talks/eddi_reader_sings_kiteflyer_s_hill
",5,396,2,13,9,2,0,24,17,3,35,47,7,61
Eddi Reader,428351,"""What You've Got""","https://www.ted.com/talks/eddi_reader_sings_about_what_you_ve_got
",1,272,3,20,12,12,6,31,13,24,48,23,15,169
Tom Honey,616385,Why would God create a tsunami?,"https://www.ted.com/talks/tom_honey_on_god_and_the_tsunami
",11,223,36,435,104,87,75,112,316,98,27,66,66,319
Richard Dawkins,4374792,Militant atheism,"https://www.ted.com/talks/richard_dawkins_on_militant_atheism
",1203,399,663,3236,192,86,1113,934,539,2475,551,172,406,2935
Tom Rielly,609087,A comic sendup of TED2006,"https://www.ted.com/talks/tom_rielly_delivers_a_comic_send_up_of_ted2006
",600,17,94,38,54,56,11,19,37,1,39,71,116,18
Rachelle Garniez,443180,"""La Vie en Rose""","https://www.ted.com/talks/thomas_dolby_and_rachelle_garniez
",58,224,27,9,4,8,0,43,26,1,12,55,14,40
Chris Anderson,904520,Technology's long tail,"https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail
",11,8,33,8,39,19,334,100,17,51,15,85,12,55
Natalie MacMaster,717002,Cape Breton fiddling in reel time,"https://www.ted.com/talks/natalie_macmaster_fiddles_in_reel_time
",23,364,12,6,29,10,1,67,22,12,54,80,23,102
Sergey Brin + Larry Page,1451846,The genesis of Google,"https://www.ted.com/talks/sergey_brin_and_larry_page_on_google
",94,51,77,19,143,54,302,97,50,22,39,163,17,176
Stew,577502,"""Black Men Ski""","https://www.ted.com/talks/stew_says_black_men_ski
",275,61,88,57,33,32,26,36,38,16,23,101,29,52
James Howard Kunstler,1683456,The ghastly tragedy of the suburbs,"https://www.ted.com/talks/james_howard_kunstler_dissects_suburbia
",1006,52,191,446,106,29,686,342,113,1678,124,87,193,801
David Kelley,779873,Human-centered design,"https://www.ted.com/talks/david_kelley_on_human_centered_design
",43,50,73,10,25,7,113,84,29,13,11,50,7,144
Stewart Brand,940913,What squatter cities can teach us,"https://www.ted.com/talks/stewart_brand_on_squatter_cities
",10,24,25,30,10,159,189,58,261,49,15,115,44,53
Jeff Hawkins,1371482,How brain science will change computing,"https://www.ted.com/talks/jeff_hawkins_on_how_brain_science_will_change_computing
",256,39,375,73,37,22,635,750,44,268,151,43,28,553
Tierney Thys,870412,Swim with the giant sunfish,"https://www.ted.com/talks/tierney_thys_swims_with_the_giant_sunfish
",330,156,22,5,22,3,383,347,15,31,50,28,14,144
Blaise Agüera y Arcas,4772595,How PhotoSynth can connect the world's images,"https://www.ted.com/talks/blaise_aguera_y_arcas_demos_photosynth
",70,632,1736,60,40,76,647,1623,41,95,14728,119,21,857
John Doerr,805111,Salvation (and profit) in greentech,"https://www.ted.com/talks/john_doerr_sees_salvation_and_profit_in_greentech
",4,42,19,174,33,19,234,57,72,207,49,39,27,378
Ngozi Okonjo-Iweala,1044185,Want to help Africa? Do business here,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa
",20,132,43,136,21,2,347,78,2,176,42,39,3,363
Anand Agarawala,1479503,Rethink the desktop with BumpTop,"https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop
",342,161,470,45,13,10,125,301,77,48,167,94,8,177
Robert Thurman,1493606,We can be Buddhas,"https://www.ted.com/talks/bob_thurman_says_we_can_be_buddhas
",330,424,57,71,47,73,185,209,50,171,39,90,26,947
David Rockwell,404402,A memorial at Ground Zero,"https://www.ted.com/talks/david_rockwell_builds_at_ground_zero
",3,11,11,12,64,0,37,12,60,4,9,26,19,29
Thomas Barnett,1136037,Let's rethink America's military strategy,"https://www.ted.com/talks/thomas_barnett_draws_a_new_map_for_peace
",384,16,293,194,31,44,479,319,88,535,160,17,87,149
Ethel,384641,"A string quartet plays ""Blue Room""","https://www.ted.com/talks/ethel_performs_blue_room
",3,216,8,6,14,10,0,48,24,8,19,57,10,54
Stephen Lawler,308879,Tour Microsoft's Virtual Earth,"https://www.ted.com/talks/stephen_lawler_tours_microsoft_virtual_earth
",3,16,44,9,17,13,61,54,34,4,81,43,14,16
Hans Rosling,3243784,New insights on poverty,"https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty
",1021,218,730,284,27,29,1544,1265,36,828,5137,74,21,1569
Bill Stone,1801117,I'm going to the moon. Who's with me?,"https://www.ted.com/talks/bill_stone_explores_the_earth_and_space
",32,62,172,720,32,21,237,437,64,205,1507,48,54,683
Dan Dennett,1596067,Dangerous memes,"https://www.ted.com/talks/dan_dennett_on_dangerous_memes
",93,67,327,181,167,107,854,763,146,1707,143,222,62,488
Alan Russell,1427723,The potential of regenerative medicine,"https://www.ted.com/talks/alan_russell_on_regenerating_our_bodies
",23,30,303,83,26,13,469,553,15,235,463,47,16,400
Jonathan Harris,1049727,The Web's secret stories,"https://www.ted.com/talks/jonathan_harris_tells_the_web_s_secret_stories
",50,360,558,31,125,54,232,642,95,28,1157,135,48,416
Emily Oster,854967,Flip your thinking on AIDS in Africa,"https://www.ted.com/talks/emily_oster_flips_our_thinking_on_aids_in_africa
",7,15,86,38,34,50,386,103,94,144,40,83,18,40
Will Wright,1107307,"Spore, birth of a game","https://www.ted.com/talks/will_wright_makes_toys_that_make_worlds
",91,238,628,37,70,21,218,596,51,95,1285,90,18,459
Rives,3387765,The  4 a.m. mystery,"https://www.ted.com/talks/rives_on_4_a_m
",2460,169,891,43,78,82,81,431,151,76,103,238,65,92
David Bolinsky,1788182,Visualizing the wonder of a living cell,"https://www.ted.com/talks/david_bolinsky_animates_a_cell
",65,1054,252,23,149,52,449,912,28,31,1772,111,14,397
Allison Hunt,558993,How to get (a new) hip,"https://www.ted.com/talks/allison_hunt_gets_a_new_hip
",440,38,105,52,8,10,42,14,44,27,11,74,52,96
George Ayittey,648234,Africa's cheetahs versus hippos,"https://www.ted.com/talks/george_ayittey_on_cheetahs_vs_hippos
",29,35,30,254,17,15,249,80,15,165,53,29,10,286
Ngozi Okonjo-Iweala,524049,Aid versus trade,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_aid_versus_trade
",11,26,28,102,32,14,141,39,32,1249,38,16,22,193
William Kamkwamba,1543596,How I built a windmill,"https://www.ted.com/talks/william_kamkwamba_on_building_a_windmill
",36,236,310,348,14,13,70,216,12,23,136,51,14,1047
Euvin Naidoo,335086,Why invest in Africa,"https://www.ted.com/talks/euvin_naidoo_on_investing_in_africa
",1,6,31,8,16,1,98,33,11,34,5,16,3,119
Patrick Awuah,1216429,How to educate leaders? Liberal arts,"https://www.ted.com/talks/patrick_awuah_on_educating_leaders
",5,146,54,320,45,3,171,115,29,183,50,65,1,810
Chris Abani,561703,Telling stories from Africa,"https://www.ted.com/talks/chris_abani_on_the_stories_of_africa
",140,221,24,133,13,13,83,102,16,28,42,39,14,220
Jacqueline Novogratz,836269,Patient capitalism,"https://www.ted.com/talks/jacqueline_novogratz_on_patient_capitalism
",7,87,47,126,19,7,167,89,18,140,32,44,6,412
Vusi Mahlasela,531957,"""Thula Mama""","https://www.ted.com/talks/vusi_mahlasela_sings_thula_mama
",17,359,13,72,10,5,15,42,5,12,32,18,3,207
Vusi Mahlasela,416603,"""Woza""","https://www.ted.com/talks/vusi_mahlasela_s_encore_at_tedglobal2007
",17,210,24,10,4,7,4,54,5,2,35,13,0,71
Jeff Skoll,727247,My journey into movies that matter,"https://www.ted.com/talks/jeff_skoll_makes_movies_that_make_change
",40,52,37,75,42,7,137,91,31,83,19,64,25,412
Dean Kamen,1575699,"Luke, a new prosthetic arm for soldiers","https://www.ted.com/talks/dean_kamen_previews_a_new_prosthetic_arm
",26,265,942,348,28,24,310,688,25,87,2080,65,25,1075
Erin McKean,1013063,The joy of lexicography,"https://www.ted.com/talks/erin_mckean_redefines_the_dictionary
",965,195,243,45,83,31,557,518,51,206,41,104,40,343
Andrew Mwenda,722877,Aid for Africa? No thanks.,"https://www.ted.com/talks/andrew_mwenda_takes_a_new_look_at_africa
",52,25,64,240,8,9,403,115,15,1020,67,38,7,251
Theo Jansen,3982352,"My creations, a new form of life","https://www.ted.com/talks/theo_jansen_creates_new_creatures
",214,631,1514,74,37,77,109,1289,67,30,2186,100,21,656
Steven Pinker,1914263,What our language habits reveal,"https://www.ted.com/talks/steven_pinker_on_language_and_thought
",100,46,175,13,352,206,956,476,91,150,29,193,24,148
Steven Pinker,2063367,The surprising decline in violence,"https://www.ted.com/talks/steven_pinker_on_the_myth_of_violence
",39,48,147,176,116,42,1314,731,242,1739,109,161,94,491
Deborah Scranton,507997,An Iraq war movie crowd-sourced from soldiers,"https://www.ted.com/talks/deborah_scranton_on_her_war_tapes
",3,60,18,338,33,25,145,65,72,51,69,30,23,198
Zeresenay Alemseged,913666,The search for humanity's roots,"https://www.ted.com/talks/zeresenay_alemseged_looks_for_humanity_s_roots
",33,55,24,56,31,21,436,349,25,46,23,64,1,167
John Maeda,1215947,Designing for simplicity,"https://www.ted.com/talks/john_maeda_on_the_simple_life
",643,183,185,27,190,145,184,269,168,45,22,155,50,403
Stephen Petranek,1712075,10 ways the world could end,"https://www.ted.com/talks/stephen_petranek_counts_down_to_armageddon
",244,20,70,79,61,14,460,356,152,158,97,69,19,121
Paul MacCready,736290,A flight on solar wings,"https://www.ted.com/talks/paul_maccready_flies_on_solar_wings
",111,31,165,18,70,13,111,140,12,13,34,31,3,148
Carolyn Porco,2627709,This is Saturn,"https://www.ted.com/talks/carolyn_porco_flies_us_to_saturn
",47,1224,73,65,61,15,880,1768,25,78,4971,108,24,1166
Kenichi Ebina,1720579,My magic moves,"https://www.ted.com/talks/kenichi_ebina_s_magic_moves
",307,414,229,41,73,67,9,562,200,13,1153,533,110,125
Richard Branson,1609555,"Life at 30,000 feet","https://www.ted.com/talks/richard_branson_s_life_at_30_000_feet
",230,46,55,150,57,7,252,367,33,44,55,72,12,700
Hod Lipson,1212346,"Building ""self-aware"" robots","https://www.ted.com/talks/hod_lipson_builds_self_aware_robots
",33,31,297,27,25,42,278,448,64,20,106,60,11,173
Maira Kalman,672254,The illustrated woman,"https://www.ted.com/talks/maira_kalman_the_illustrated_woman
",263,138,49,28,118,160,25,121,67,7,15,67,28,144
Jan Chipchase,694378,The anthropology of mobile phones,"https://www.ted.com/talks/jan_chipchase_on_our_mobile_phones
",26,16,111,19,190,128,454,249,166,49,29,154,21,211
VS Ramachandran,3930186,3 clues to understanding your brain,"https://www.ted.com/talks/vilayanur_ramachandran_on_your_mind
",673,215,1458,77,52,25,2402,3847,31,423,1775,107,15,969
Eleni Gabre-Madhin,562457,A commodities exchange for Ethiopia,"https://www.ted.com/talks/elene_gabre_madhin_on_ethiopian_economics
",1,29,47,137,38,8,222,78,27,73,31,31,3,177
Sherwin Nuland,1522858,How electroshock therapy changed me,"https://www.ted.com/talks/sherwin_nuland_on_electroshock_therapy
",95,308,37,1417,54,16,453,466,39,128,121,44,28,1286
Matthieu Ricard,7271730,The habits of happiness,"https://www.ted.com/talks/matthieu_ricard_on_the_habits_of_happiness
",400,1621,106,194,245,109,863,1170,88,618,139,268,28,3774
Lawrence Lessig,1895259,Laws that choke creativity,"https://www.ted.com/talks/larry_lessig_says_the_law_is_strangling_creativity
",254,91,344,423,76,35,1014,589,76,2163,157,89,41,1074
Paul Rothemund,410563,Playing with DNA that self-assembles,"https://www.ted.com/talks/paul_rothemund_casts_a_spell_with_dna
",34,15,195,12,9,65,140,261,23,9,98,40,9,64
David Keith,876658,A critical look at geoengineering against climate change,"https://www.ted.com/talks/david_keith_s_surprising_ideas_on_climate_change
",30,14,184,262,57,43,680,300,129,1352,77,61,43,166
Juan Enriquez,898974,Using biology to rethink the energy challenge,"https://www.ted.com/talks/juan_enriquez_wants_to_grow_energy
",30,11,186,79,71,81,551,282,115,1008,63,69,37,246
