main_speaker,views,title,url,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Cary Fowler,679728,"One seed at a time, protecting the future of food","https://www.ted.com/talks/cary_fowler_one_seed_at_a_time_protecting_the_future_of_food
",17,48,72,54,31,5,336,185,30,235,45,74,11,227
Joshua Silver,751452,Adjustable liquid-filled eyeglasses,"https://www.ted.com/talks/josh_silver_demos_adjustable_liquid_filled_eyeglasses
",9,26,516,34,11,19,127,156,38,67,65,72,10,207
Geoff Mulgan,308233,"Post-crash, investing in a better world","https://www.ted.com/talks/geoff_mulgan_post_crash_investing_in_a_better_world_1
",2,6,11,24,94,21,58,26,74,98,5,43,18,123
Evan Grant,811565,Making sound visible through cymatics,"https://www.ted.com/talks/evan_grant_cymatics
",19,306,92,12,8,6,164,352,50,22,85,75,9,184
Steve Truglia,571893,A leap from the edge of space,"https://www.ted.com/talks/steve_truglia_a_leap_from_the_edge_of_space
",23,7,19,230,25,6,76,96,19,10,43,67,17,49
James Balog,914170,Time-lapse proof of extreme ice loss,"https://www.ted.com/talks/james_balog_time_lapse_proof_of_extreme_ice_loss
",1,84,43,66,41,10,356,251,83,457,366,30,18,133
Lewis Pugh,689476,How I swam the North Pole,"https://www.ted.com/talks/lewis_pugh_swims_the_north_pole
",17,36,8,342,14,0,33,91,22,50,208,17,25,328
Rebecca Saxe,2856240,How we read each other's minds,"https://www.ted.com/talks/rebecca_saxe_how_brains_make_moral_judgments
",356,118,383,85,76,61,1274,1348,72,263,253,221,21,280
Vishal Vaid,414396,Hypnotic South Asian improv music,"https://www.ted.com/talks/vishal_vaid_s_hypnotic_song
",10,171,18,8,49,18,0,73,52,11,41,68,102,46
Misha Glenny,891314,How global crime networks work,"https://www.ted.com/talks/misha_glenny_investigates_global_crime_networks
",39,4,15,171,42,20,564,281,39,212,127,78,15,37
Bjarke Ingels,2129938,3 warp-speed architecture tales,"https://www.ted.com/talks/bjarke_ingels_3_warp_speed_architecture_tales
",269,430,629,82,12,7,144,540,13,80,365,32,18,816
John Lloyd,1159134,An inventory of the invisible,"https://www.ted.com/talks/john_lloyd_inventories_the_invisible
",877,85,235,9,26,18,181,289,41,39,35,105,29,194
Oliver Sacks,4233352,What hallucination reveals about our minds,"https://www.ted.com/talks/oliver_sacks_what_hallucination_reveals_about_our_minds
",175,344,182,118,190,26,2032,2562,26,160,246,175,15,465
Imogen Heap,883282,"""Wait It Out""","https://www.ted.com/talks/imogen_heap_wait
",5,560,19,25,8,8,1,49,22,10,54,104,19,149
Jonathan Zittrain,717483,The Web as random acts of kindness,"https://www.ted.com/talks/jonathan_zittrain_the_web_is_a_random_act_of_kindness
",364,64,68,30,16,9,237,251,22,156,40,47,12,434
