main_speaker,views,city,country,continent,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring
Dave Brain,1311426,Hereford,United Kingdom,Europe,211,54,41,17,10,5,446,297,3,50,40,40,10,137
Pico Iyer,1477238,Oxford,United Kingdom,Europe,11,418,59,95,18,13,182,281,27,112,30,53,6,652
Ian Bremmer,851675,London,United Kingdom,Europe,41,6,17,24,13,12,142,67,47,106,10,55,34,60
Halla Tómasdóttir,877915,Reykjavik,Iceland,Europe,63,77,6,233,5,7,65,63,12,86,20,23,6,335
Bettina Warburg,1985742,Hamburg,Germany,Europe,15,120,62,35,53,39,479,203,127,112,25,112,5,193
Sandi Toksvig,799891,Copenhagen,Denmark,Europe,334,46,47,200,12,4,82,47,32,161,15,16,23,404
Danny Dorling,1384978,Oxford,United Kingdom,Europe,4,64,125,17,21,20,437,278,16,73,51,41,6,181
Deeyah Khan,1195885,Oslo,Norway,Europe,5,142,24,669,2,11,319,97,10,260,56,12,2,593
Alan Smith,1369939,Birmingham,United Kingdom,Europe,114,35,87,15,5,9,341,163,5,97,21,33,3,108
Maurice Conti,2759051,Turin,Italy,Europe,30,82,241,30,12,2,420,529,37,87,184,23,5,456
Jude Kelly,1086882,Liverpool,United Kingdom,Europe,56,67,17,86,5,8,68,54,12,114,14,44,10,259
 Silk Road Ensemble,640734,Paris,France,Europe,5,80,7,1,4,1,3,19,0,4,13,6,1,17
Siamak Hariri,1098436,Bonn,Germany,Europe,5,344,63,11,17,15,33,113,13,7,33,37,6,161
Sangu Delle,1460852,London,United Kingdom,Europe,10,197,8,358,6,0,217,56,4,118,22,22,0,403
Stuart Russell,1085138,Mole Valley,United Kingdom,Europe,76,6,49,4,3,3,153,82,15,44,9,26,3,60
Michael Patrick Lynch,1264166,Brighton,United Kingdom,Europe,5,40,55,59,8,9,256,129,7,176,8,37,4,188
David Miliband,1088768,City of Westminster,United Kingdom,Europe,4,41,9,106,2,10,93,26,25,100,6,11,4,179
Rabbi Lord Jonathan Sacks,1244502,London,United Kingdom,Europe,8,115,20,67,7,1,41,80,2,118,38,3,1,318
Françoise Mouly,839040,Paris,France,Europe,10,12,6,1,1,0,32,8,1,9,2,1,1,13
David Whyte,643011,City of Westminster,United Kingdom,Europe,9,142,18,30,13,2,5,49,1,8,8,7,6,152
Alexander Wagner,621431,Berlin,Germany,Europe,5,18,4,4,1,0,51,54,4,25,1,11,3,50
Helen Czerski,656791,Manchester,United Kingdom,Europe,39,12,19,8,29,12,91,52,10,26,3,14,3,60
