Occupation,Views
Drug policy expert,1247655.0
Drug policy reformer,1593079.0
Foreign policy strategist,1215662.0
Health policy expert,1021180.0
High seas policy advisor,349168.0
International policy analyst,1947342.0
Open-government expert,516355.0
Policy advisor,2728471.0
Policy expert,1059854.0
Policy reformer,1135382.0
Politician,690979.75
Politician and writer,1437808.0
Public policy thinker,1424893.0
Recovering politician,1233545.0
