main_speaker,views,speaker_occupation,cluster
Lawrence Lessig,389961,Legal activist,Social Activism and Human Rights
John Underkoffler,1514014,Interface designer,Architecture and Design
"Christopher ""moot"" Poole""",1451649,"Founder, 4chan",Technology Visionaries and Innovators
Michael Sandel,1160672,Political philosopher,Philosophy and Thought Leadership
Stewart Brand + Mark Z. Jacobson,1294171,"Environmentalist, futurist",Environment and Sustainability
David Byrne,1231159,"Musician, artist, writer",Arts and Entertainment
Cameron Herold,1579033,Entrepreneur,Business and Economics
Chip Conley,2785058,"CEO, author",Education and Academia
Marian Bantjes,629753,"Designer, illustrator, typographer",Architecture and Design
Hillel Cooperman,1014201,"Entrepreneur, Lego enthusiast",Business and Economics
Clay Shirky,954924,Social Media Theorist,Media and Journalism
Ellen Dunham-Jones,668454,Architect,Architecture and Design
Stephen Palumbi,362741,Marine biologist,Physical and Earth Sciences
Mitchell Joachim,1332785,"Architect, designer",Architecture and Design
Benoit Mandelbrot,1212079,Mathematician,Science and Technology
Ellen  Gustafson,664485,Social entrepreneur,Business and Economics
Nalini Nadkarni,426610,Tree researcher,Health and Medicine
Hans Rosling,2934262,Global health expert; data visionary,Health and Medicine
Carl Safina,594725,"Ecologist, writer",Creative Writing and Digital Content
Ethan Zuckerman,694714,"Blogger, digital visionary",Technology Visionaries and Innovators
Tan Le,2468906,Entrepreneur,Business and Economics
Kevin Stone,486269,"Surgeon, inventor",Science and Technology
Sheena Iyengar,3087856,Psycho-economist,Business and Economics
John Delaney,332099,Oceanographer,Science and Technology
Laurie Santos,1236817,Cognitive psychologist,Health and Medicine
Sheryl WuDunn,1049847,"Author, journalist",Education and Academia
Maz Jobrani,4646183,Comedian,Arts and Entertainment
Seth Priebatsch,816019,Entrepreneur,Business and Economics
David McCandless,2581998,Data journalist,Media and Journalism
Lee Hotz,592082,Journalist,Media and Journalism
Jeremy Rifkin,544047,"Writer, thinker",Creative Writing and Digital Content
Lisa Margonelli,452632,Writer,Creative Writing and Digital Content
Nic Marks,1597719,Happiness researcher,Health and Medicine
Johan Rockstrom,924806,Sustainability expert,Environment and Sustainability
His Holiness the Karmapa,800001,Spiritual leader,Spiritual and Religious Leadership
Derek Sivers,4657799,Entrepreneur,Business and Economics
Rachel Sussman,1424250,"Artist, photographer",Arts and Entertainment
Sugata Mitra,2528934,Education researcher,Health and Medicine
Alwar Balasubramaniam,427590,Artist,Arts and Entertainment
Seth Godin,955329,Marketer and author,Education and Academia
Jessa Gamble,2244295,Writer,Creative Writing and Digital Content
Nicholas Christakis,568761,"Physician, social scientist",Science and Technology
Caroline Phillips,649740,Musician,Arts and Entertainment
Christien Meindertsma,1157394,Artist,Arts and Entertainment
Steven Johnson,3951683,Writer,Creative Writing and Digital Content
Annie Lennox,484254,"Activist, singer-songwriter",Social Activism and Human Rights
Fabian Hemmert,875821,Designer,Architecture and Design
Gary Wolf,865560,Journalist,Media and Journalism
Sebastian Seung,942928,Computational neuroscientist,Science and Technology
Inge Missmahl,343349,Analytical psychologist,Health and Medicine
Eben Bayer,1097901,Green designer,Architecture and Design
Tim Jackson,899942,Economist,Business and Economics
Barbara Block,334820,Marine biologist,Physical and Earth Sciences
Hans Rosling,738895,Global health expert; data visionary,Health and Medicine
Stefano Mancuso,1075196,Plant neurobiologist,Physical and Earth Sciences
Melinda Gates,1189754,Philanthropist,Philanthropy and Social Change
Peter Haas,317127,Building activist,Social Activism and Human Rights
Natalie Jeremijenko,414028,Artist and engineer,Arts and Entertainment
Ze Frank,1876053,"Humorist, web artist",Arts and Entertainment
Heribert Watzke,1342475,Food scientist,Science and Technology
Dianna Cohen,688861,Artist and activist,Arts and Entertainment
R.A. Mashelkar,622593,"Scientist, innovator",Science and Technology
Miwa Matreyek,829399,Multimedia artist,Arts and Entertainment
David Bismark,543551,Voting system designer,Architecture and Design
Greg Stone,454323,Oceanographer,Science and Technology
Andrew Bird,1231423,Musician,Arts and Entertainment
Emily Pilloton,943245,Humanitarian design activist,Social Activism and Human Rights
Auret van Heerden,586814,Labor-rights activist,Social Activism and Human Rights
Eric Berlow,1154719,Ecologist,Science and Technology
Conrad Wolfram,1499219,Mathematician,Science and Technology
Denis Dutton,2012387,Philosopher,Philosophy and Thought Leadership
Shimon Schocken,539950,"Computer Scientist, Educator",Science and Technology
John Hardy,960523,"Designer, educator",Education and Academia
Kristina Gjerde,349168,High seas policy advisor,Public Policy and Governance
Kim Gorgens,452578,Neuropsychologist,Health and Medicine
Zainab Salbi,505716,Activist and social entrepreneur,Business and Economics
Jason Fried,4908787,Software entrepreneur,Business and Economics
William Ury,1828181,Mediator,Media and Journalism
Tony Porter,2235818,"Author, educator, activist",Education and Academia
Hanna Rosin,851862,Journalist,Media and Journalism
Diana Laufenberg,1882742,Educator,Education and Academia
Rufus Griscom + Alisa Volkman,2108409,Website co-founders,Technology Visionaries and Innovators
Rachel Botsman,1125092,Trust researcher,Health and Medicine
Ken Robinson,1854997,Author/educator,Education and Academia
Beverly + Dereck Joubert,858303,"Conservationists, filmmakers",Arts and Entertainment
Majora Carter,702793,Activist for environmental justice,Environment and Sustainability
Brené Brown,31168150,Vulnerability researcher,Health and Medicine
Barry Schwartz,948622,Psychologist,Health and Medicine
Arianna Huffington,4241096,Journalist,Media and Journalism
Lesley Hazleton,1847256,"Writer, psychologist",Health and Medicine
Charles Limb,1231800,Researcher,Health and Medicine
Deborah Rhodes,892492,"Physician, cancer researcher",Health and Medicine
Thomas Thwaites,1301834,Designer,Architecture and Design
Ali Carr-Chellman,953587,Instructional designer,Architecture and Design
Van Jones,462012,Social justice and green energy activist,Social Activism and Human Rights
Martin Jacques,2327025,"Writer, columnist",Media and Journalism
Ariel Garten,399314,"Artist, scientist and entrepreneur",Arts and Entertainment
Bruce Feiler,465856,Writer,Creative Writing and Digital Content
Kate Orff,316975,Landscape architect,Architecture and Design
Johanna Blakley,1272294,Media maven,Media and Journalism
Christopher McDougall,2434842,"Journalist, runner",Media and Journalism
Suheir Hammad,599444,"Poet, playwright",Arts and Entertainment
Nigel Marsh,3813685,Author and marketer,Education and Academia
Hawa Abdi + Deqo Mohamed,348647,Somali doctors who treat women refugees,Health and Medicine
Michael Pawlyn,1740568,Architect,Architecture and Design
Krista Tippett,694181,Journalist,Media and Journalism
Lisa Gansky,710327,Entrepreneur,Business and Economics
Noreena Hertz,880598,Economist,Business and Economics
Wadah Khanfar,922923,Journalist,Media and Journalism
JR,2626483,Street artist,Arts and Entertainment
Wael Ghonim,914212,Internet activist and computer engineer,Science and Technology
Bill Gates,1866264,Philanthropist,Philanthropy and Social Change
Courtney E. Martin,953671,Journalist,Media and Journalism
Sal Khan,4609857,Educator and social entrepreneur,Education and Academia
Deb Roy,2475423,Cognitive scientist,Science and Technology
Janna Levin,1119772,Physicist,Physical and Earth Sciences
Mark Bezos,2178952,"Activist, volunteer firefighter",Social Activism and Human Rights
Rogier van der Heide,562653,Lighting designer,Architecture and Design
Sarah Kay,10529854,Poet,Creative Writing and Storytelling
Hans Rosling,2391977,Global health expert; data visionary,Health and Medicine
Sebastian Thrun,2442977,Engineer,Science and Technology
Eric Whitacre,3421371,"Composer, conductor",Performing Arts and Music
AnnMarie Thomas,856326,Educator,Education and Academia
Morgan Spurlock,2049103,Filmmaker,Arts and Entertainment
Mick Ebeling,943624,Entrepreneur,Business and Economics
Caroline Casey,2030154,Inclusivity activist,Social Activism and Human Rights
Jackson Browne,656851,Musician and activist,Arts and Entertainment
Dave Meslin,1612925,Artist and organizer,Arts and Entertainment
Roger Ebert,1104345,Film critic and blogger,Technology Visionaries and Innovators
Marcin Jakubowski,1479352,Farmer and technologist,Science and Technology
Sam Richards,1531265,Sociologist,Anthropology and Sociology
John Hunter,1394203,Educator,Education and Academia
Anil Ananthaswamy,537035,Science writer,Creative Writing and Digital Content
Ric Elias,6636475,Entrepreneur,Business and Economics
Harvey Fineberg,1021180,Health policy expert,Public Policy and Governance
Angela Belcher,862689,Biological engineer,Science and Technology
Mike Matas,1507048,Software engineer,Science and Technology
Eli Pariser,4039403,Organizer and author,Education and Academia
Carlo Ratti,657251,Architect and engineer,Science and Technology
Suzanne Lee,1218882,Designer,Architecture and Design
Sean Carroll,1549458,"Physicist, cosmologist",Physical and Earth Sciences
Louie Schwartzberg,1885751,Filmmaker,Arts and Entertainment
Fiorenzo Omenetto,747979,Biomedical engineer,Science and Technology
Ron Gutman,4653286,Entrepreneur,Business and Economics
Amit Sood,612377,Technologist,Science and Technology
Leonard Susskind,846544,Physicist,Physical and Earth Sciences
Ed Boyden,931567,Neuroengineer,Science and Technology
Thomas Heatherwick,1586547,Designer,Architecture and Design
Edith Widder,1215549,Marine biologist,Physical and Earth Sciences
Aaron Koblin,1474192,Data artist,Arts and Entertainment
Shirin Neshat,650274,Iranian visual artist,Arts and Entertainment
Mustafa Akyol,1113407,Journalist,Media and Journalism
Robert Gupta + Joshua Roman,769926,Violinist,Performing Arts and Music
Stefan Sagmeister,1670894,Graphic designer,Architecture and Design
Aaron O'Connell,1272198,Physicist,Physical and Earth Sciences
Jessi Arrington,1202928,Designer,Architecture and Design
Damon Horowitz,681873,"Philosopher, entrepreneur",Business and Economics
Janet Echelman,1832930,Artist,Arts and Entertainment
Paul Romer,461382,"Chief Economist and Senior Vice President, World Bank",Business and Economics
Daniel Kraft,869847,Physician scientist,Science and Technology
Shea Hembrey,1486880,Artist and curator,Arts and Entertainment
Steve Keil,602203,Entrepreneur,Business and Economics
Onyx Ashanti,788065,Beatjazz inventor and controllerist,Science and Technology
Daniel Tammet,1751030,"Linguist, educator",Education and Academia
Honor Harger,909194,Artist,Arts and Entertainment
Joshua Walters,1637656,"Comedian, activist",Arts and Entertainment
Emiliano Salinas,525446,Community activist,Social Activism and Human Rights
Rajesh Rao,1190085,Computational neuroscientist,Science and Technology
Matt Cutts,8838874,Technologist,Science and Technology
Jonathan Drori,938976,Educator,Education and Academia
Simon Lewis,690977,"Author, producer",Education and Academia
Nina Tandon,490275,Tissue engineering researcher,Science and Technology
Rebecca MacKinnon,735708,Internet freedom activist,Social Activism and Human Rights
Maajid Nawaz,703559,Anti-extremism activist,Social Activism and Human Rights
Tim Harford,1734555,"Economist, journalist and broadcaster",Business and Economics
Nadia Al-Sakkaf,498409,Journalist,Media and Journalism
Thandie Newton,2462734,Actor,Arts and Entertainment
Markus Fischer,6264902,Designer,Architecture and Design
Rory Stewart,659276,Politician,Public Policy and Governance
Paul Bloom,1948949,Psychologist,Health and Medicine
Adam Ostrow,1134961,Journalist,Media and Journalism
Harald Haas,2500389,Communications technology innovator,Science and Technology
Mark Pagel,1421357,Evolutionary biologist,Physical and Earth Sciences
Jessica Green,551041,Engineer and biodiversity scientist,Science and Technology
Philip Zimbardo,2190746,Psychologist,Health and Medicine
Eve Ensler,1349669,"Playwright, activist",Arts and Entertainment
Jeremy Gilley,842057,Peace activist,Social Activism and Human Rights
Dan Ariely,1055562,Behavioral economist,Business and Economics
Julia Bacha,740934,Filmmaker,Arts and Entertainment
Skylar Tibbits,983929,Inventor,Science and Technology
Joan Halifax,1451656,"Author, Zen priest",Education and Academia
Edward Tenner,790122,Historian of technology and culture,Science and Technology
Sarah Kaminsky,593099,Actor and writer,Arts and Entertainment
Raghava KK,946354,Artist,Arts and Entertainment
Yasheng Huang,992224,Political economist,Business and Economics
Kate Hartman,872169,Artist and technologist,Arts and Entertainment
Richard Resnick,852507,Entrepreneur,Business and Economics
Lauren Zalaznick,647752,Media executive,Media and Journalism
Jean-Baptiste Michel + Erez Lieberman Aiden,1783040,Data researcher,Health and Medicine
Elizabeth Murchison,484266,Cancer researcher,Health and Medicine
Abraham Verghese,1390908,Physician and author,Education and Academia
Jarreth Merz,399332,Filmmaker,Arts and Entertainment
Yang Lan,1776828,"Media mogul, TV host",Media and Journalism
Christoph Adami,598693,Artificial life researcher,Health and Medicine
Graham Hill,3729820,Journalist,Media and Journalism
Alison Gopnik,2901853,Child development psychologist,Health and Medicine
Richard Seymour,950387,Designer,Architecture and Design
Ian Ritchie,576592,Software entrepreneur,Business and Economics
Jae Rhim Lee,1426518,Artist,Arts and Entertainment
Bunker Roy,3630894,Educator,Education and Academia
Justin Hall-Tipping,1048905,Science entrepreneur,Business and Economics
Guy-Philippe Goldstein,471545,Author,Education and Academia
Todd Kuiken,841471,Biomedical engineer,Science and Technology
Nathalie Miebach,729857,Artist,Arts and Entertainment
Richard Wilkinson,2487499,Public health researcher,Health and Medicine
Iain McGilchrist,648251,Psychiatrist and writer,Creative Writing and Digital Content
Malcolm Gladwell,1067460,Writer,Creative Writing and Digital Content
Jay Bradner,507746,Research scientist,Science and Technology
Béatrice Coron,933319,Papercutter artist,Arts and Entertainment
Hasan Elahi,822884,Privacy artist,Arts and Entertainment
Paul Zak,1529057,Neuroeconomist,Business and Economics
Anna Mracek Dietrich,924764,Inventor,Science and Technology
Paul Lewis,148971,Journalist,Media and Journalism
Sandra Fisher-Martins,291251,"Translator, plain language activist",Social Activism and Human Rights
Aparna Rao,777463,Artist,Arts and Entertainment
Allan Jones,1033748,Brain scientist,Science and Technology
Charlie Todd,2758792,Comedian,Arts and Entertainment
Michael Nielsen,138812,Physicist,Physical and Earth Sciences
Alexander Tsiaras,6064898,Medical image maker,Health and Medicine
Robin Ince,670245,Comedian,Arts and Entertainment
Gabe Zichermann,438379,"Entrepreneur, author",Education and Academia
Natalie Warne,569814,Activist,Social Activism and Human Rights
Joe Sabia,1091352,Storyteller,Creative Writing and Storytelling
Britta Riley,1986542,"Artist, urban farmer",Arts and Entertainment
Damon Horowitz,1145700,"Philosopher, entrepreneur",Business and Economics
Annie Murphy Paul,1757711,Science author,Education and Academia
John Bohannon,485285,Science writer,Creative Writing and Digital Content
Charles Limb,571200,Researcher,Health and Medicine
Sarah Kay,711977,Poet,Creative Writing and Storytelling
Luis von Ahn,1482664,Computer scientist,Science and Technology
Cheryl Hayashi,764971,Spider silk scientist,Science and Technology
Yoav Medan,698388,Medical inventor,Science and Technology
Klaus Stadlmann,268280,Engineer,Science and Technology
David Damberger,221777,"Engineer, Social Entrepreneur",Science and Technology
Pavan Sukhdev,633715,Environmental economist,Environment and Sustainability
Ramona Pierson,369363,Education innovator,Technology Visionaries and Innovators
Roger Doiron,191555,Gardening activist,Social Activism and Human Rights
Thomas Pogge,242251,Philosopher,Philosophy and Thought Leadership
Antonio Damasio,1692225,Neuroscientist,Science and Technology
Sheila Nirenberg,393726,Neuroscientist,Science and Technology
Daniel Goldstein,2119412,Behavioral economist,Business and Economics
Karen Tse,532416,Anti-torture activist,Social Activism and Human Rights
AJ Jacobs,1468930,Author,Education and Academia
Jane Fonda,2370111,Actor and activist,Arts and Entertainment
Sebastian Wernicke,618729,Data scientist,Science and Technology
Nate Garvis,125050,Civic thought leader,Philosophy and Thought Leadership
Michelle Borkin,161462,physicist,Physical and Earth Sciences
Tyler Cowen,277326,Economist,Business and Economics
Drew Berry,1443353,Biomedical animator,Health and Medicine
Morley,310126,Singer-songwriter,Creative Writing and Digital Content
Kirk Sorensen,390395,"Engineer, nuclear technologist",Science and Technology
Alain de Botton,2203020,Philosopher,Philosophy and Thought Leadership
Clay Shirky,1275141,Social Media Theorist,Media and Journalism
Sheena Iyengar,2314111,Psycho-economist,Business and Economics
Scott Rickard,348992,Mathematician,Science and Technology
Bilal Bomani,155895,NASA scientist,Science and Technology
Julian Baggini,1005287,Philosopher,Philosophy and Thought Leadership
Lisa Harouni,1595655,3D printing entrepreneur,Business and Economics
Diana Nyad,611461,"Journalist, swimmer",Media and Journalism
Bjarke Ingels,422460,Architect,Architecture and Design
Bill Doyle,550715,Engineer,Science and Technology
Shawn Achor,16209727,Psychologist,Health and Medicine
Erica Frenkel,318110,Medical technologist,Science and Technology
Mike deGruy,940841,Filmmaker,Arts and Entertainment
Aleph Molinari,115346,"Economist, techno-activist",Business and Economics
Nancy Duarte,1152886,"CEO, presentation designer",Architecture and Design
Neil Burgess,1196436,Neuroscientist,Science and Technology
Sheikha Al Mayassa,642142,"Founder, Doha Film Institute",Technology Visionaries and Innovators
Drew Dudley,3119947,Leadership educator,Education and Academia
Tyrone Hayes + Penelope Jagessar Chaffer,450706,Biologist,Physical and Earth Sciences
Jenna McCarthy,4384497,Writer,Creative Writing and Digital Content
Inara George,217851,Singer and songwriter,Creative Writing and Digital Content
Lucien Engelen,288585,Healthcare innovator,Technology Visionaries and Innovators
Simon Berrow,478456,Marine biologist,Physical and Earth Sciences
Chris Bliss,713999,Writer,Creative Writing and Digital Content
Shilo Shiv Suleman,576918,Artist,Arts and Entertainment
Shlomo Benartzi,1332298,Economist,Business and Economics
Tan Le,1072306,Entrepreneur,Business and Economics
Paul Snelgrove,293342,Marine biologist,Physical and Earth Sciences
Daniel Pauly,224768,Fisheries biologist,Physical and Earth Sciences
Peter Diamandis,1363726,Space activist,Social Activism and Human Rights
Paul Gilding,1174189,Writer,Creative Writing and Digital Content
Susan Cain,17629275,Quiet revolutionary,Interdisciplinary and Emerging Fields
Andrew Stanton,2702500,Filmmaker,Arts and Entertainment
Jennifer Pahlka,827607,Code activist,Social Activism and Human Rights
Improv Everywhere,2950307,Social energy entrepreneur,Business and Economics
Kelli Anderson,306296,"Artist, designer",Arts and Entertainment
Larry Smith,5917201,"Professor of Economics, University of Waterloo",Education and Academia
Greg Gage,303986,Neuroscientist,Science and Technology
David Gallo,277544,Oceanographer,Science and Technology
Jonathan Haidt,1129577,Social psychologist,Health and Medicine
Rob Reid,2598055,"Author, entrepreneur",Education and Academia
Brené Brown,7988894,Vulnerability researcher,Health and Medicine
Scott Summit,132199,Industrial Designer,Architecture and Design
Mark Raymond,142164,Architect,Architecture and Design
T. Boone Pickens,613676,Entrepreneur and energy theorist,Business and Economics
Taylor Wilson,3192405,Nuclear scientist,Science and Technology
Billy Collins,1140425,Poet,Creative Writing and Storytelling
Jer Thorp,220716,Data artist,Arts and Entertainment
Peter Saul,873230,"Doctor, intensive care specialist",Health and Medicine
Donald Sadoway,1803069,Materials engineer,Science and Technology
Leymah Gbowee,1080869,"Peace activist, Nobelist",Social Activism and Human Rights
Ayah Bdeir,1168080,Engineer and artist,Arts and Entertainment
Daniel Schnitzer,208115,"Founder and Executive Director, Earthspark International",Technology Visionaries and Innovators
Tierney Thys +  Plankton Chronicles Project,197120,Marine biologist,Physical and Earth Sciences
Chip Kidd,1752014,Graphic designer,Architecture and Design
Jack Choi,975115,Technologist,Science and Technology
Carvens Lissaint,186308,Performance artist,Arts and Entertainment
Jonathan Foley,702977,Professor,Education and Academia
Melinda Gates,1141812,Philanthropist,Philanthropy and Social Change
Tal Golesworthy,1324704,Engineer and artist,Arts and Entertainment
Atul Gawande,1654299,"Surgeon, journalist",Media and Journalism
Drew Curtis,1061687,Web entrepreneur,Business and Economics
Laura Carstensen,1197677,Psychologist,Health and Medicine
Brian Greene,3327164,Physicist,Physical and Earth Sciences
Michael Norton,3539952,Social science researcher,Health and Medicine
Jon Bergmann,419672,Educator,Education and Academia
Nancy Lublin,979094,Activist,Social Activism and Human Rights
Brenda Romero,490092,Game designer,Architecture and Design
Liz Diller,661645,Designer,Architecture and Design
Amory Lovins,1144360,"Physicist, energy guru",Physical and Earth Sciences
Tavi Gevinson,1447603,Blogger and fashion icon,Technology Visionaries and Innovators
Michael Tilson Thomas,1281099,"Musician, Conductor",Arts and Entertainment
JP Rangaswami,655406,Technologist,Science and Technology
Joshua Foer,4754217,Writer,Creative Writing and Digital Content
José Bowen,117756,Professor of music,Education and Academia
Tali Sharot,1995401,Cognitive neuroscientist,Science and Technology
Jean-Baptiste Michel,1183303,Data researcher,Health and Medicine
David Kelley,4389731,"Designer, educator",Education and Academia
Carl Schoonover,890283,Neuroscience PhD student + writer,Creative Writing and Digital Content
JR,1128212,Street artist,Arts and Entertainment
Michael McDaniel,271344,Graphic designer,Architecture and Design
Melissa Garren,166835,Marine biologist,Physical and Earth Sciences
Hans Rosling,2138419,Global health expert; data visionary,Health and Medicine
Philippe Petit,640744,High-wire artist,Arts and Entertainment
Reggie Watts,9315931,"Vocalist, beatboxer, comedian",Arts and Entertainment
David MacKay,462242,Professor,Education and Academia
Sebastian Deterding,638247,Designer,Architecture and Design
Diane Kelly,3886045,Biologist,Physical and Earth Sciences
Ami Klin,572281,Autism researcher,Health and Medicine
John Hockenberry,737230,Journalist,Media and Journalism
Rebecca Onie,979799,Health services innovator,Technology Visionaries and Innovators
LZ Granderson,1466095,Journalist,Media and Journalism
Peter Norvig,1054590,Computer scientist,Science and Technology
Wolfgang Kessling,703243,Physicist,Physical and Earth Sciences
Jon Nguyen,721905,Engineer,Science and Technology
Nirmalya Kumar,881361,Professor,Education and Academia
E.O. Wilson,1057964,Biologist,Physical and Earth Sciences
Rives,722536,"Performance poet, multimedia artist",Arts and Entertainment
Boaz Almog,2364799,Quantum Researcher,Health and Medicine
Alanna Shaikh,1280380,Global health and development specialist,Health and Medicine
Raghava KK,811778,Artist,Arts and Entertainment
Cesar Harada,841128,"Inventor, environmentalist, educator",Science and Technology
Usman Riaz + Preston Reed,3346345,Revolutionary Guitarist,Interdisciplinary and Emerging Fields
Jane McGonigal,6141140,Game Designer,Architecture and Design
Jonathan Eisen,736224,Biologist,Physical and Earth Sciences
Chris Gerdes,731620,Mechanical engineer,Science and Technology
Todd Humphreys,729428,Assistant Professor,Education and Academia
Mina Bissell,990712,Cancer Researcher,Health and Medicine
Jamie Drummond,509747,Anti-poverty activist,Social Activism and Human Rights
Baba Shiv,850833,Neuroeconomist,Business and Economics
Matt Mills,2623011,Technologist,Science and Technology
Neil Harbisson,2468887,Sonochromatic Cyborg Artist,Arts and Entertainment
Vinay Venkatraman,585351,Designer,Architecture and Design
Malte Spitz,1619108,"Politician, data activist",Social Activism and Human Rights
Tracy Chevalier,1191702,Author,Education and Academia
Michael Hansmeyer,863507,Computational architect,Architecture and Design
Giles Duley,144044,Photojournalist,Media and Journalism
Michael Anti,1423930,Blogger,Technology Visionaries and Innovators
Daphne Koller,2302206,Educator,Education and Academia
Mark Applebaum,3600582,Composer,Performing Arts and Music
Pam Warhurst,1206351,"Cofounder, Incredible Edible",Technology Visionaries and Innovators
Kirby Ferguson,1356163,Filmmaker and Remixer,Arts and Entertainment
Mark Forsyth,582161,Writer,Creative Writing and Digital Content
Jon Ronson,10167161,Writer and filmmaker,Arts and Entertainment
Timothy Prestero,1024653,Designer,Architecture and Design
Robert Neuwirth,754755,Author,Education and Academia
Jonathan Trent,809361,Scientist and biofuel guru,Science and Technology
Kent Larson,1052980,Architect,Architecture and Design
Scott Fraser,1050633,"Forensic psychologist, expert witness",Health and Medicine
Leslie T. Chang,1362071,Journalist,Media and Journalism
Beth Noveck,516355,Open-government expert,Public Policy and Governance
Tristram Stuart,1471114,Author and Activist,Education and Academia
Sarah-Jayne Blakemore,2246203,Cognitive Neuroscientist,Science and Technology
Andrew Blum,1337967,Network author,Education and Academia
Bandi Mbubi,587181,Social Justice Activist,Social Activism and Human Rights
Ed Gavagan,924318,"Designer, Storyteller",Creative Writing and Storytelling
Rachel Botsman,1239316,Trust researcher,Health and Medicine
Read Montague,693628,Behavioral Neuroscientist,Science and Technology
Clay Shirky,1245095,Social Media Theorist,Media and Journalism
Bahia Shehab,1024326,Artist and historian,Arts and Entertainment
Vicki Arroyo,1030762,Environmental policy influencer,Environment and Sustainability
Amy Cuddy,43155405,Social psychologist,Health and Medicine
Robert Gupta,1038897,Violinist,Performing Arts and Music
Shimon Schocken,983172,"Computer Scientist, Educator",Science and Technology
John Maeda,1045703,Artist,Arts and Entertainment
Ruby Wax,2352202,Comedian and Mental Health Activist,Arts and Entertainment
Eddie Obeng,1495331,Business Educator,Education and Academia
Beau Lotto + Amy O'Toole,1272319,"Neuroscientist, Artist",Arts and Entertainment
Heather Brooke,932024,Journalist,Media and Journalism
Pankaj Ghemawat,813261,Globalization researcher,Health and Medicine
David Pizarro,692434,"Psychologist, Disgust researcher",Health and Medicine
Lemn Sissay,720465,Poet and playwright,Arts and Entertainment
Doris Kim Sung,1171568,Architect,Architecture and Design
Rory Stewart,852344,Politician,Public Policy and Governance
Adam Garone,714578,Moustache activist,Social Activism and Human Rights
Faith Jegede Cole,1123786,Writer,Creative Writing and Digital Content
Matt Killingsworth,2723934,Happiness researcher,Health and Medicine
Jeff Hancock,1198585,Psychologist,Health and Medicine
Julie Burstein,1776779,Writer and radio producer,Creative Writing and Digital Content
Arunachalam Muruganantham,1115222,Inventor,Science and Technology
Leah Buechley,766305,Designer,Architecture and Design
Daphne Bavelier,4682458,Cognitive researcher,Health and Medicine
Amos Winter,1004016,Mechanical engineer,Science and Technology
Sleepy Man Banjo Boys,1798001,Bluegrass musicians,Arts and Entertainment
Louie Schwartzberg,3658158,Filmmaker,Arts and Entertainment
Candy Chang,4922118,"Artist, designer, urban planner",Arts and Entertainment
Munir Virani,926948,"Raptor biologist, wildlife photographer",Physical and Earth Sciences
Paolo Cardini,2324212,Designer,Architecture and Design
Ludwick Marishane,1594495,Entrepreneur,Business and Economics
Jeff Smith,1233545,Recovering politician,Public Policy and Governance
Nina Tandon,1063880,Tissue engineering researcher,Science and Technology
Lemon Andersen,1120276,Poet and actor,Arts and Entertainment
Markham Nolan,1229150,Journalist,Media and Journalism
Maz Jobrani,8105311,Comedian,Arts and Entertainment
Molly Crockett,1200277,Neuroscientist,Science and Technology
Adam Davidson,783528,Journalist,Media and Journalism
Ronny Edry,2033797,Graphic Designer,Architecture and Design
Hadyn Parry,943968,Biotechnology entrepreneur,Science and Technology
Jonathan Haidt,606994,Social psychologist,Health and Medicine
Sue Austin,2052286,Performance artist,Arts and Entertainment
Jarrett J. Krosoczka,879676,Author/illustrator,Education and Academia
Boghuma Kabisen Titanji,478878,Clinical researcher,Health and Medicine
Angela Patton,815594,Activist,Social Activism and Human Rights
Ellen Jorgensen,1164723,"Biologist, community science advocate",Physical and Earth Sciences
Steven Schwaitzberg,497489,Surgeon and technologist,Science and Technology
Leslie Morgan Steiner,3846779,Writer,Creative Writing and Digital Content
Wingham Rowan,1058852,Policy entrepreneur,Business and Economics
Mitch Resnick,1725064,Computer scientist,Science and Technology
Zahra' Langhi,525297,Activist,Social Activism and Human Rights
Edi Rama,595537,Politician,Public Policy and Governance
Shabana Basij-Rasikh,932561,Educator,Education and Academia
Young-ha Kim,1841716,Writer,Creative Writing and Digital Content
Miguel Nicolelis,1229865,Neuroscientist,Science and Technology
Keith Chen,1642461,Behavioral economist,Business and Economics
Afra Raymond,824898,Transparency activist,Social Activism and Human Rights
Michael Dickinson,1555722,Biologist,Physical and Earth Sciences
Bruce Feiler,1403668,Writer,Creative Writing and Digital Content
Sugata Mitra,2895821,Education researcher,Health and Medicine
Amanda Palmer,9006600,"Musician, blogger",Arts and Entertainment
Edith Widder,3773245,Marine biologist,Physical and Earth Sciences
Kakenya Ntaiya,2460131,Educator and activist,Education and Academia
Shane Koyczan,5316753,Poet,Creative Writing and Storytelling
Dan Pallotta,4259204,"Author, speaker, reformer",Education and Academia
David Anderson,1342510,Neurobiologist,Physical and Earth Sciences
Stewart Brand,1939539,"Environmentalist, futurist",Environment and Sustainability
Bono,1648677,"Musician, activist",Arts and Entertainment
Elon Musk,4564213,Serial entrepreneur,Business and Economics
Hyeonseo Lee,9551344,Activist,Social Activism and Human Rights
Eric Whitacre,1005088,"Composer, conductor",Performing Arts and Music
Jessica Green,955827,Engineer and biodiversity scientist,Science and Technology
Richard Turere,2025005,Inventor,Science and Technology
Colin Camerer,1342712,Behavioral economist,Business and Economics
Katherine Kuchenbecker,274986,Mechanical engineer,Science and Technology
Lawrence Lessig,1443340,Legal activist,Social Activism and Human Rights
Skylar Tibbits,2449740,Inventor,Science and Technology
Freeman Hrabowski,911601,Educator,Education and Academia
