Occupation,Views
Anthropologist,1214575.3333333333
"Anthropologist, ethnobotanist",1758537.0
"Anthropologist, expert on love",5245778.0
Forensic anthropologist,712971.0
Neurological anthropologist,4233352.0
Paleoanthropologist,785033.0
Public health sociologist,1005076.0
Sociologist,1489563.0
Tech anthropologist,1198897.0
Techno-sociologist,1157737.5
Trash anthropologist,1628594.0
Urban sociologist,1528815.0
User anthropologist,694378.0
